Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Unnamed: 6,Student Name
3,76,Yes,4,3,54,,Aaron Fernandes
1,43,Yes,7,0,17,,Imran Qureshi
4,73,No,4,6,54,,Hannah Daniel
2,81,Yes,4,3,58,,Simran Kaur
8,61,No,7,2,53,,Hina Parveen
4,44,Yes,7,6,27,,Saanvi Patel
2,89,Yes,6,1,65,,Khushi Rathi
6,81,No,9,9,75,,Sana Qureshi
6,62,Yes,9,0,52,,Manvir Sandhu
4,93,No,8,3,78,,Vivaan Mehta
6,99,No,4,7,91,,Jacob Mathew
2,54,Yes,9,5,33,,Ananya Joshi
2,70,Yes,5,8,47,,Grace DCosta
4,98,No,6,0,78,,Faizan Ahmad
8,48,No,6,0,38,,John DSouza
7,82,Yes,8,4,70,,Zoya Khan
9,97,Yes,8,5,98,,Rehan Siddiqui
8,92,Yes,4,7,87,,Harsimran Gill
5,64,Yes,6,2,49,,Ethan Paul
2,64,Yes,6,5,41,,Isha Saxena
5,88,No,5,2,71,,Gurpreet Bedi
8,60,No,4,7,54,,Riya Sharma
9,48,No,4,3,42,,Zayan Ali
9,94,No,9,1,91,,Rachel Pinto
1,87,Yes,8,8,61,,Ayesha Fatima
9,77,No,9,9,74,,Nathan Gomes
7,61,Yes,4,7,54,,Harnoor Brar
9,82,Yes,5,5,81,,Kirandeep Grewal
8,62,Yes,4,2,52,,Eliza Francis
1,88,Yes,9,1,65,,Arjun Singh
8,43,Yes,7,3,36,,Krish Choudhary
8,68,No,7,3,61,,Meher Jahan
3,54,Yes,5,0,35,,Ayaan Khan
1,40,Yes,8,8,15,,Harleen Kaur
8,93,Yes,6,9,88,,Ishaan Tripathi
3,69,No,4,7,45,,Ishaan Tripathi
3,68,Yes,9,6,49,,Ethan Paul
1,59,Yes,8,5,33,,Aaron Fernandes
5,72,Yes,9,2,60,,Kirandeep Grewal
7,80,No,8,3,71,,Nathan Gomes
9,83,Yes,4,1,81,,Sana Qureshi
7,75,No,6,6,67,,Sarah Joseph
9,99,No,4,1,95,,Krish Choudhary
8,61,Yes,6,9,58,,Jacob Mathew
2,52,No,9,0,29,,Imran Qureshi
1,46,No,5,5,21,,Grace DCosta
7,47,Yes,6,3,38,,Meher Jahan
7,67,Yes,8,7,60,,Ayesha Fatima
8,84,Yes,5,0,76,,Rachel Pinto
5,82,Yes,9,8,69,,Harsimran Gill
3,48,No,7,5,30,,Zayan Ali
8,64,No,5,1,57,,Khushi Rathi
6,95,Yes,6,7,81,,Eliza Francis
3,55,Yes,5,4,36,,Arjun Singh
1,49,Yes,9,4,25,,Jasleen Bajwa
3,50,No,5,4,27,,Zoya Khan
5,70,Yes,9,6,61,,Harnoor Brar
3,51,No,7,6,34,,Saanvi Patel
1,99,No,6,9,76,,Vivaan Mehta
5,70,No,8,6,57,,Faizan Ahmad
7,53,No,5,9,45,,John DSouza
7,90,Yes,4,1,76,,Manvir Sandhu
9,83,Yes,8,7,83,,Ananya Joshi
3,71,Yes,5,0,50,,Hannah Daniel
7,89,No,8,1,81,,Hina Parveen
1,92,No,4,6,66,,Harleen Kaur
4,56,Yes,8,3,38,,Isha Saxena
4,74,No,8,9,56,,Rehan Siddiqui
5,40,No,4,9,25,,Ayaan Khan
7,68,No,4,8,56,,Lakshya Verma
7,90,Yes,4,8,82,,Aarav Sharma
4,43,Yes,7,2,23,,Gurpreet Bedi
7,62,Yes,9,2,56,,Navneet Dhillon
3,67,No,9,8,46,,Riya Sharma
6,55,Yes,4,9,43,,Simran Kaur
2,51,Yes,9,7,30,,Aarav Sharma
9,92,Yes,8,0,92,,Imran Qureshi
5,60,No,4,5,45,,Ishaan Tripathi
6,84,No,5,6,70,,Jacob Mathew
4,56,No,4,7,36,,Sana Qureshi
7,79,No,4,1,71,,Faizan Ahmad
9,52,No,9,0,49,,Hannah Daniel
7,91,Yes,6,3,82,,Rehan Siddiqui
1,97,Yes,8,0,71,,Riya Sharma
1,71,No,9,1,43,,Rachel Pinto
9,76,No,8,2,77,,Zoya Khan
9,89,Yes,5,3,86,,Aaron Fernandes
4,54,No,7,5,34,,John DSouza
9,51,No,6,7,49,,Harleen Kaur
3,88,No,5,8,69,,Simran Kaur
7,96,No,5,3,84,,Ayaan Khan
6,54,No,8,0,41,,Lakshya Verma
8,73,Yes,6,4,68,,Isha Saxena
9,45,Yes,8,4,44,,Ethan Paul
5,56,No,7,8,41,,Kirandeep Grewal
1,87,No,8,5,58,,Nathan Gomes
3,88,Yes,4,4,68,,Hina Parveen
8,96,No,8,9,94,,Khushi Rathi
6,59,Yes,4,9,47,,Sarah Joseph
8,48,No,5,4,40,,Eliza Francis
9,98,Yes,7,7,100,,Grace DCosta
4,44,Yes,9,0,23,,Arjun Singh
1,62,No,4,4,36,,Manvir Sandhu
1,72,No,7,0,47,,Harnoor Brar
4,77,Yes,8,6,60,,Ananya Joshi
7,95,No,9,6,83,,Navneet Dhillon
2,53,Yes,8,9,33,,Zayan Ali
3,56,No,5,7,36,,Ayesha Fatima
1,96,No,8,6,74,,Harsimran Gill
5,58,No,4,8,42,,Krish Choudhary
1,72,Yes,5,7,47,,Saanvi Patel
8,40,Yes,7,7,31,,Jasleen Bajwa
1,52,No,5,2,26,,Meher Jahan
1,85,Yes,7,9,58,,Gurpreet Bedi
2,66,No,6,3,42,,Vivaan Mehta
2,45,Yes,4,3,18,,Grace DCosta
6,98,No,4,0,85,,Riya Sharma
7,45,Yes,7,5,36,,Khushi Rathi
5,72,Yes,8,1,58,,Ishaan Tripathi
1,69,Yes,9,8,45,,Hannah Daniel
1,85,Yes,8,0,60,,Vivaan Mehta
3,74,Yes,6,0,56,,Manvir Sandhu
2,62,Yes,7,9,42,,Aaron Fernandes
5,49,No,6,5,33,,Zoya Khan
6,90,No,7,0,77,,Sana Qureshi
7,58,Yes,6,2,51,,Imran Qureshi
4,90,No,7,9,72,,Navneet Dhillon
7,67,Yes,4,1,57,,Harnoor Brar
8,62,No,6,8,53,,Saanvi Patel
1,43,No,6,4,16,,Krish Choudhary
6,59,No,7,5,45,,Kirandeep Grewal
8,58,No,5,1,49,,Aarav Sharma
5,81,Yes,5,7,67,,Isha Saxena
4,66,No,4,5,49,,Eliza Francis
2,96,No,8,7,73,,Hina Parveen
6,73,No,8,7,65,,Ethan Paul
6,43,Yes,4,0,27,,Faizan Ahmad
1,95,No,8,6,72,,Ayaan Khan
9,77,Yes,9,1,74,,Simran Kaur
6,46,Yes,9,7,38,,Harleen Kaur
3,87,No,9,1,67,,Harsimran Gill
4,46,Yes,9,3,28,,Zayan Ali
4,89,No,7,1,73,,Rachel Pinto
3,91,No,5,6,72,,Ayesha Fatima
3,65,No,4,4,42,,Meher Jahan
3,65,No,7,8,47,,Ananya Joshi
4,93,No,9,4,77,,Lakshya Verma
7,58,No,4,7,49,,Jasleen Bajwa
4,48,No,5,1,30,,Rehan Siddiqui
9,59,Yes,8,2,54,,Arjun Singh
1,81,Yes,7,5,56,,Gurpreet Bedi
8,84,No,5,6,75,,Nathan Gomes
7,89,No,4,9,78,,John DSouza
2,55,Yes,6,7,32,,Jacob Mathew
8,93,No,7,2,89,,Sarah Joseph
1,56,Yes,4,6,29,,Sana Qureshi
9,61,Yes,4,7,57,,Harsimran Gill
9,52,No,5,9,48,,Kirandeep Grewal
2,51,No,4,5,27,,Sarah Joseph
7,49,Yes,7,3,38,,Ayesha Fatima
3,40,Yes,9,5,18,,Harleen Kaur
7,71,No,7,8,66,,Saanvi Patel
9,69,No,4,2,65,,Aaron Fernandes
4,47,Yes,5,1,27,,Hannah Daniel
1,60,Yes,7,4,33,,Arjun Singh
2,61,Yes,6,6,37,,Navneet Dhillon
1,57,No,9,2,29,,Harnoor Brar
5,41,No,8,4,26,,Krish Choudhary
5,87,No,5,3,72,,Ayaan Khan
7,83,Yes,5,6,77,,Khushi Rathi
9,48,Yes,8,1,45,,Grace DCosta
9,42,No,8,6,41,,Jacob Mathew
3,93,Yes,7,1,73,,Hina Parveen
3,65,Yes,4,2,43,,Gurpreet Bedi
3,60,Yes,4,4,39,,Riya Sharma
4,69,Yes,6,6,54,,Imran Qureshi
8,67,Yes,9,5,62,,Lakshya Verma
6,75,No,4,6,63,,Jasleen Bajwa
8,65,No,6,5,59,,Meher Jahan
1,73,No,6,0,46,,Ishaan Tripathi
8,47,No,5,4,42,,Nathan Gomes
4,49,No,5,0,30,,Aarav Sharma
1,87,Yes,9,6,63,,Eliza Francis
8,94,Yes,7,3,89,,Manvir Sandhu
4,82,Yes,8,4,62,,Zayan Ali
6,89,No,8,0,77,,John DSouza
8,93,Yes,9,7,88,,Faizan Ahmad
4,53,Yes,6,3,35,,Rehan Siddiqui
3,79,Yes,9,2,60,,Simran Kaur
9,94,No,8,0,92,,Ethan Paul
3,54,Yes,6,3,38,,Rachel Pinto
9,56,Yes,8,2,56,,Zoya Khan
2,92,No,7,7,70,,Vivaan Mehta
2,57,No,5,8,35,,Isha Saxena
2,71,Yes,5,4,47,,Ananya Joshi
6,77,No,6,8,66,,Jacob Mathew
3,62,Yes,9,0,43,,Saanvi Patel
9,85,No,8,6,81,,Nathan Gomes
4,62,Yes,4,6,43,,Hina Parveen
1,74,Yes,7,5,46,,Jasleen Bajwa
4,78,No,8,3,61,,Grace DCosta
1,54,No,4,8,27,,Ishaan Tripathi
5,92,No,7,2,77,,Manvir Sandhu
4,63,No,7,0,43,,Sana Qureshi
8,67,Yes,5,1,60,,Lakshya Verma
8,55,No,6,2,48,,Imran Qureshi
7,55,Yes,8,1,47,,John DSouza
3,79,Yes,7,5,60,,Kirandeep Grewal
1,78,Yes,8,6,53,,Meher Jahan
1,45,No,7,4,19,,Hannah Daniel
3,41,Yes,9,4,23,,Ananya Joshi
6,93,Yes,5,6,81,,Aaron Fernandes
7,52,No,6,5,41,,Arjun Singh
6,83,Yes,4,7,71,,Zoya Khan
6,86,Yes,4,8,75,,Rachel Pinto
6,98,Yes,9,1,89,,Faizan Ahmad
3,48,No,5,1,28,,Aarav Sharma
6,73,Yes,7,0,60,,Riya Sharma
8,56,Yes,5,6,54,,Ayaan Khan
2,66,Yes,6,3,41,,Isha Saxena
5,68,No,4,8,52,,Gurpreet Bedi
1,76,No,8,5,53,,Harsimran Gill
1,82,No,4,6,52,,Simran Kaur
5,61,Yes,6,6,47,,Harleen Kaur
3,90,Yes,7,7,71,,Krish Choudhary
4,63,Yes,5,3,42,,Harnoor Brar
3,46,Yes,4,2,21,,Sarah Joseph
1,73,Yes,4,2,48,,Ayesha Fatima
1,87,No,8,9,64,,Navneet Dhillon
5,51,Yes,5,7,38,,Eliza Francis
6,62,Yes,8,2,49,,Vivaan Mehta
3,54,No,8,7,35,,Ethan Paul
9,72,No,7,1,73,,Khushi Rathi
5,96,Yes,4,4,81,,Rehan Siddiqui
8,52,No,9,4,47,,Zayan Ali
1,62,No,5,6,36,,Hina Parveen
5,77,No,7,4,63,,Rehan Siddiqui
3,71,Yes,9,8,52,,Khushi Rathi
1,84,No,7,2,58,,Lakshya Verma
4,89,Yes,7,8,77,,Rachel Pinto
5,74,No,6,0,58,,Ananya Joshi
7,40,Yes,6,2,33,,Jacob Mathew
1,86,Yes,7,3,67,,Vivaan Mehta
3,97,Yes,6,5,76,,Manvir Sandhu
2,84,No,5,9,62,,Aarav Sharma
9,44,No,4,7,37,,Jasleen Bajwa
6,96,No,9,6,86,,Arjun Singh
3,52,Yes,5,7,37,,Kirandeep Grewal
8,93,No,4,5,88,,Grace DCosta
8,44,No,6,5,38,,Faizan Ahmad
2,99,Yes,9,5,76,,Zoya Khan
6,71,No,5,2,57,,Gurpreet Bedi
7,90,Yes,8,9,82,,Hannah Daniel
2,60,No,7,3,35,,Harsimran Gill
2,63,Yes,4,5,41,,Riya Sharma
1,99,Yes,4,6,75,,Harnoor Brar
8,57,No,8,2,51,,Nathan Gomes
1,60,Yes,8,3,34,,Meher Jahan
9,93,No,7,5,92,,Simran Kaur
6,49,No,6,0,39,,Krish Choudhary
7,63,No,5,6,56,,Saanvi Patel
7,79,No,5,0,69,,Eliza Francis
3,86,Yes,5,9,69,,Navneet Dhillon
2,60,Yes,6,8,40,,Harleen Kaur
9,64,Yes,7,9,63,,Ethan Paul
8,91,No,5,8,86,,Aaron Fernandes
7,99,No,4,8,89,,Ayaan Khan
9,96,Yes,4,3,94,,John DSouza
4,98,Yes,4,1,79,,Ayesha Fatima
4,62,No,8,6,44,,Imran Qureshi
1,61,No,8,3,33,,Ishaan Tripathi
8,43,No,6,4,36,,Zayan Ali
3,73,Yes,5,0,50,,Isha Saxena
7,95,No,8,9,94,,Sarah Joseph
2,45,Yes,4,5,22,,Sana Qureshi
2,67,No,8,6,44,,Jasleen Bajwa
7,70,Yes,4,2,60,,Navneet Dhillon
6,74,No,5,9,64,,Nathan Gomes
3,78,Yes,6,1,58,,Manvir Sandhu
9,81,Yes,7,9,78,,Gurpreet Bedi
6,62,Yes,7,6,51,,Zoya Khan
6,45,No,4,0,30,,Zayan Ali
1,55,Yes,8,1,29,,Simran Kaur
4,41,Yes,8,2,22,,Kirandeep Grewal
6,63,No,4,3,51,,Meher Jahan
6,56,Yes,5,4,45,,Ishaan Tripathi
5,84,Yes,4,3,70,,Grace DCosta
1,40,No,5,9,10,,Ananya Joshi
8,45,Yes,6,2,38,,Rachel Pinto
5,44,No,6,0,30,,John DSouza
5,96,Yes,4,6,82,,Arjun Singh
7,84,No,6,9,74,,Vivaan Mehta
4,99,Yes,8,5,87,,Khushi Rathi
6,94,Yes,5,1,77,,Harsimran Gill
4,89,Yes,7,1,72,,Sana Qureshi
3,68,No,7,2,51,,Rehan Siddiqui
7,51,Yes,6,7,40,,Jacob Mathew
8,78,Yes,5,7,72,,Sarah Joseph
4,86,No,8,9,68,,Lakshya Verma
2,42,No,7,9,22,,Imran Qureshi
3,87,No,8,9,67,,Hannah Daniel
1,40,Yes,8,9,18,,Aaron Fernandes
8,66,Yes,7,7,64,,Saanvi Patel
3,87,Yes,7,6,66,,Ayaan Khan
7,63,No,6,1,50,,Ayesha Fatima
5,83,No,5,0,68,,Aarav Sharma
5,58,Yes,4,5,44,,Harnoor Brar
7,98,Yes,5,7,90,,Harleen Kaur
9,47,No,4,0,41,,Isha Saxena
5,94,No,7,2,83,,Faizan Ahmad
1,83,No,8,0,57,,Krish Choudhary
1,86,Yes,5,9,64,,Hina Parveen
2,41,No,8,8,18,,Eliza Francis
6,69,No,5,6,62,,Riya Sharma
9,69,No,9,7,66,,Ethan Paul
8,88,No,5,8,85,,Simran Kaur
5,78,Yes,8,2,62,,Zoya Khan
1,84,No,9,9,62,,Jacob Mathew
7,71,Yes,6,1,62,,Grace DCosta
5,40,Yes,7,5,26,,Khushi Rathi
6,77,No,6,4,66,,Vivaan Mehta
7,52,No,6,3,43,,Isha Saxena
3,50,Yes,5,5,30,,Ananya Joshi
3,49,No,7,5,25,,Imran Qureshi
5,87,Yes,9,2,77,,Aarav Sharma
6,98,No,5,1,88,,Harnoor Brar
9,65,Yes,4,8,62,,Harsimran Gill
5,95,Yes,5,7,82,,Navneet Dhillon
1,94,Yes,9,3,73,,Gurpreet Bedi
4,59,No,8,5,44,,Faizan Ahmad
5,56,Yes,5,2,40,,Hannah Daniel
5,56,Yes,4,7,39,,Rehan Siddiqui
7,43,No,5,2,34,,John DSouza
4,44,No,9,1,27,,Jasleen Bajwa
1,99,Yes,4,6,73,,Hina Parveen
5,62,Yes,7,2,46,,Manvir Sandhu
7,85,No,9,8,78,,Sana Qureshi
6,91,Yes,5,2,80,,Riya Sharma
5,49,No,4,7,33,,Nathan Gomes
4,85,No,9,1,68,,Rachel Pinto
2,67,No,7,8,45,,Zayan Ali
4,72,Yes,8,0,56,,Ayesha Fatima
3,82,No,6,2,58,,Arjun Singh
1,65,Yes,4,1,37,,Lakshya Verma
8,94,Yes,8,6,88,,Eliza Francis
5,89,No,7,4,75,,Ishaan Tripathi
4,87,No,8,7,70,,Meher Jahan
8,68,No,5,1,62,,Aaron Fernandes
7,66,No,6,7,57,,Ethan Paul
2,57,Yes,4,6,32,,Harleen Kaur
1,79,Yes,9,4,53,,Ayaan Khan
4,99,No,7,1,82,,Sarah Joseph
8,49,Yes,6,9,41,,Krish Choudhary
2,97,No,7,6,75,,Kirandeep Grewal
3,81,Yes,8,9,63,,Saanvi Patel
1,44,Yes,7,3,17,,Ananya Joshi
1,49,Yes,7,3,24,,Khushi Rathi
3,89,No,8,7,69,,Isha Saxena
5,60,Yes,8,5,47,,Riya Sharma
3,63,Yes,6,8,43,,Saanvi Patel
1,77,Yes,4,1,48,,Aaron Fernandes
1,42,Yes,8,4,17,,Imran Qureshi
8,79,No,6,5,75,,Eliza Francis
2,70,Yes,7,7,54,,Gurpreet Bedi
3,80,No,7,3,59,,Zayan Ali
2,76,No,9,6,56,,Simran Kaur
3,41,Yes,5,6,20,,Sana Qureshi
7,41,Yes,8,3,34,,Hannah Daniel
1,78,No,6,0,54,,Navneet Dhillon
8,88,No,9,2,83,,Grace DCosta
2,81,No,6,1,59,,Harnoor Brar
3,83,Yes,4,2,63,,Rachel Pinto
9,73,Yes,9,4,72,,Ayesha Fatima
7,81,No,6,0,70,,John DSouza
4,59,No,8,4,41,,Ayaan Khan
5,72,No,6,1,54,,Sarah Joseph
2,43,Yes,5,3,21,,Harsimran Gill
8,84,Yes,7,5,83,,Jacob Mathew
4,83,No,7,8,64,,Krish Choudhary
9,50,Yes,9,9,51,,Nathan Gomes
5,81,No,6,5,66,,Rehan Siddiqui
9,86,Yes,6,9,83,,Ethan Paul
4,44,No,6,1,26,,Manvir Sandhu
5,64,Yes,6,7,49,,Vivaan Mehta
9,88,Yes,5,4,85,,Arjun Singh
8,99,Yes,8,8,95,,Zoya Khan
3,76,Yes,5,9,56,,Jasleen Bajwa
1,73,Yes,5,8,50,,Hina Parveen
3,48,Yes,5,3,23,,Harleen Kaur
4,45,Yes,7,0,26,,Kirandeep Grewal
2,57,No,5,8,30,,Faizan Ahmad
1,53,No,6,8,28,,Ishaan Tripathi
7,58,No,5,7,48,,Aarav Sharma
8,53,Yes,6,4,46,,Meher Jahan
7,79,Yes,9,4,73,,Lakshya Verma
5,56,Yes,8,9,45,,Meher Jahan
1,99,No,7,5,76,,Zoya Khan
7,74,No,8,0,71,,Simran Kaur
7,68,No,9,8,60,,Aaron Fernandes
9,81,No,8,4,77,,Manvir Sandhu
3,56,No,7,6,36,,Aarav Sharma
9,98,No,6,7,96,,Ishaan Tripathi
1,82,Yes,9,4,62,,Rehan Siddiqui
1,47,No,9,2,22,,Zayan Ali
4,40,Yes,6,5,21,,Hina Parveen
9,84,No,6,6,79,,Lakshya Verma
6,92,No,7,3,82,,Ethan Paul
3,75,Yes,5,8,55,,Ananya Joshi
1,46,Yes,4,3,22,,Nathan Gomes
4,85,Yes,5,9,70,,Navneet Dhillon
9,44,No,5,1,37,,Jasleen Bajwa
3,63,No,8,8,42,,Gurpreet Bedi
9,67,Yes,4,3,64,,Eliza Francis
7,82,No,6,3,72,,Ayesha Fatima
4,56,Yes,5,9,42,,Harsimran Gill
3,76,No,7,0,56,,Faizan Ahmad
5,59,No,5,1,43,,Arjun Singh
5,42,No,6,2,24,,Harnoor Brar
3,76,Yes,5,6,55,,Imran Qureshi
9,65,No,9,8,64,,Isha Saxena
4,54,Yes,8,4,34,,Harleen Kaur
5,90,Yes,8,3,78,,Vivaan Mehta
4,87,Yes,5,1,71,,Sana Qureshi
5,47,Yes,8,6,33,,Hannah Daniel
7,52,Yes,7,5,46,,Saanvi Patel
9,87,Yes,4,6,86,,Jacob Mathew
7,42,Yes,5,7,34,,Riya Sharma
5,40,Yes,7,8,26,,Kirandeep Grewal
7,48,Yes,9,9,44,,Grace DCosta
5,70,No,7,4,53,,Ayaan Khan
3,80,Yes,7,4,61,,Sarah Joseph
7,93,No,9,3,84,,Rachel Pinto
2,65,Yes,6,2,40,,Khushi Rathi
9,56,No,5,6,53,,Krish Choudhary
1,95,No,5,4,67,,John DSouza
6,73,No,5,6,58,,Aaron Fernandes
7,48,No,4,1,41,,Faizan Ahmad
8,95,No,7,8,89,,Ishaan Tripathi
9,90,No,5,8,85,,Harsimran Gill
2,52,Yes,8,8,33,,Harnoor Brar
2,44,Yes,6,4,20,,Sarah Joseph
5,80,Yes,9,9,66,,Saanvi Patel
5,52,Yes,9,8,38,,Imran Qureshi
6,40,Yes,4,0,25,,Jasleen Bajwa
3,64,Yes,9,1,43,,Simran Kaur
8,86,No,6,9,79,,Gurpreet Bedi
1,43,Yes,7,4,16,,Sana Qureshi
6,75,No,9,4,67,,Khushi Rathi
4,91,No,9,5,80,,Ethan Paul
1,49,No,8,7,26,,John DSouza
7,67,No,7,0,57,,Zoya Khan
9,96,No,5,9,91,,Arjun Singh
4,45,No,6,8,29,,Grace DCosta
4,66,Yes,9,3,48,,Aarav Sharma
6,95,No,8,7,84,,Hina Parveen
3,51,No,6,4,33,,Harleen Kaur
6,91,Yes,4,0,82,,Nathan Gomes
7,87,Yes,8,8,81,,Riya Sharma
3,42,Yes,4,7,24,,Kirandeep Grewal
7,85,Yes,9,4,81,,Ayaan Khan
3,72,Yes,8,3,54,,Navneet Dhillon
2,49,Yes,5,7,25,,Rachel Pinto
4,70,Yes,6,8,53,,Jacob Mathew
8,54,No,6,6,48,,Isha Saxena
9,46,Yes,7,3,40,,Zayan Ali
7,75,No,8,6,66,,Hannah Daniel
1,53,Yes,8,5,29,,Rehan Siddiqui
3,95,Yes,4,2,73,,Eliza Francis
9,87,No,8,9,89,,Krish Choudhary
1,53,Yes,6,2,27,,Lakshya Verma
9,42,Yes,8,0,40,,Ayesha Fatima
8,88,Yes,7,4,83,,Meher Jahan
1,92,Yes,7,7,69,,Ananya Joshi
6,85,Yes,6,5,72,,Vivaan Mehta
5,89,Yes,6,7,77,,Manvir Sandhu
6,42,Yes,6,6,32,,Faizan Ahmad
5,61,No,8,1,49,,Manvir Sandhu
6,58,Yes,8,7,44,,Arjun Singh
5,74,No,5,3,57,,Saanvi Patel
5,51,No,9,4,34,,Eliza Francis
4,93,No,9,7,76,,Hina Parveen
3,44,No,4,4,22,,Isha Saxena
3,49,No,8,4,30,,Kirandeep Grewal
4,80,No,5,5,67,,Rehan Siddiqui
9,72,No,5,6,71,,Aarav Sharma
2,52,Yes,7,8,29,,Ishaan Tripathi
9,74,Yes,8,6,74,,Navneet Dhillon
1,90,Yes,5,5,67,,Rachel Pinto
1,71,No,7,9,46,,Simran Kaur
5,50,Yes,4,3,34,,Ayaan Khan
6,87,No,7,9,76,,Ayesha Fatima
6,77,No,4,1,64,,Khushi Rathi
3,63,Yes,9,8,46,,John DSouza
7,74,No,9,9,68,,Grace DCosta
9,58,No,6,4,58,,Vivaan Mehta
8,45,Yes,6,4,41,,Harsimran Gill
6,79,No,7,2,64,,Gurpreet Bedi
8,93,Yes,6,2,84,,Harleen Kaur
5,84,No,8,0,70,,Zayan Ali
8,83,No,7,4,77,,Ananya Joshi
4,81,Yes,5,2,60,,Jasleen Bajwa
8,74,Yes,8,1,65,,Riya Sharma
2,43,Yes,7,8,21,,Aaron Fernandes
5,72,No,9,9,60,,Jacob Mathew
9,52,No,4,5,48,,Sarah Joseph
4,95,Yes,6,2,77,,Nathan Gomes
6,75,Yes,6,6,63,,Krish Choudhary
1,93,Yes,6,8,68,,Hannah Daniel
9,82,No,7,8,81,,Harnoor Brar
1,58,No,8,0,29,,Imran Qureshi
5,82,Yes,4,1,66,,Zoya Khan
4,51,Yes,6,7,36,,Lakshya Verma
3,50,Yes,8,0,29,,Meher Jahan
6,45,No,5,2,32,,Ethan Paul
2,51,Yes,9,6,31,,Sana Qureshi
3,66,Yes,5,7,45,,Harleen Kaur
5,80,Yes,4,4,65,,Meher Jahan
9,64,No,6,1,57,,Ayesha Fatima
2,81,No,5,2,58,,Gurpreet Bedi
8,42,Yes,9,8,38,,Rehan Siddiqui
2,42,No,8,9,22,,Kirandeep Grewal
5,59,Yes,8,6,48,,Hannah Daniel
7,67,Yes,5,0,59,,Navneet Dhillon
8,62,Yes,6,2,58,,Krish Choudhary
1,87,Yes,9,8,62,,Nathan Gomes
6,42,No,4,6,30,,Eliza Francis
1,81,Yes,6,1,56,,Vivaan Mehta
2,63,Yes,7,5,40,,Ishaan Tripathi
1,82,No,5,8,59,,Saanvi Patel
5,79,Yes,7,3,65,,Sarah Joseph
9,45,No,5,9,43,,Ananya Joshi
6,59,Yes,4,1,48,,Aarav Sharma
1,50,Yes,6,2,24,,Isha Saxena
1,71,Yes,9,6,51,,Simran Kaur
2,99,Yes,6,3,81,,John DSouza
9,66,No,5,6,62,,Ayaan Khan
3,60,Yes,8,4,43,,Jacob Mathew
1,83,No,7,7,63,,Jasleen Bajwa
5,87,No,9,7,73,,Arjun Singh
7,89,No,9,4,76,,Riya Sharma
6,52,Yes,6,6,43,,Zoya Khan
1,61,No,6,5,34,,Ethan Paul
5,74,No,5,7,57,,Rachel Pinto
5,86,No,8,8,72,,Harsimran Gill
6,61,Yes,7,4,47,,Lakshya Verma
3,67,Yes,8,6,52,,Imran Qureshi
5,60,No,9,0,49,,Manvir Sandhu
7,85,No,8,7,77,,Zayan Ali
5,57,Yes,5,2,41,,Grace DCosta
5,70,No,8,0,56,,Khushi Rathi
5,99,No,7,5,89,,Harnoor Brar
3,85,No,9,7,65,,Sana Qureshi
1,76,Yes,4,2,49,,Faizan Ahmad
5,60,No,9,0,48,,Hina Parveen
9,53,No,4,2,47,,Aaron Fernandes
